
=======================================================
[INFO] TANGGAL & WAKTU EKSEKUSI SIMULASI : 2026-06-09 16:04:08
=======================================================

=======================================================
[INFO] Skenario Range / Pathloss Degradation (Wi-Fi 7)
=======================================================
[SPESIFIKASI SIMULASI]
- Standar Wi-Fi     : Wi-Fi 7 (802.11be)
- Konfigurasi MIMO  : 8x8 Spatial Streams
- Fitur Spesial     : Multi-Link Operation (MLO) Aktif
    * Link 0        : Frekuensi 5 GHz (Lebar Pita 160 MHz)
    * Link 1        : Frekuensi 6 GHz (Lebar Pita 320 MHz)
- Tx Power          : 20.0 dBm
- Rate Adaptation   : IdealWifiManager (Otomatis menyesuaikan hingga 4096-QAM)
- Propagation Model : HybridBuildingsPropagationLossModel (Redaman Tembok/Indoor)
- Jarak Uji         : 0 hingga 300 meter
=======================================================

[INFO] Waktu: 0.2s | Jarak: 1 m | RSSI: -5.71343 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 0
[INFO] Waktu: 17.6s | Jarak: 175 m | RSSI: -62.7869 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 84926
[INFO] Waktu: 17.8s | Jarak: 177 m | RSSI: -62.9782 dBm | Tput: 67.712 Mbps | Delay: 1601.31 ms | Jitter: 0.44326 ms | Drop: 84005
[INFO] Waktu: 18s | Jarak: 179 m | RSSI: -63.1795 dBm | Tput: 781.514 Mbps | Delay: 914.037 ms | Jitter: 0.131272 ms | Drop: 71343
[INFO] Waktu: 18.2s | Jarak: 181 m | RSSI: -63.3725 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 84926
[INFO] Waktu: 18.4s | Jarak: 183 m | RSSI: -63.5634 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 84926
[INFO] Waktu: 18.6s | Jarak: 185 m | RSSI: -63.7523 dBm | Tput: 141.842 Mbps | Delay: 640.873 ms | Jitter: 0.225929 ms | Drop: 82478
[INFO] Waktu: 18.8s | Jarak: 187 m | RSSI: -63.9391 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 84926
[INFO] Waktu: 19s | Jarak: 189 m | RSSI: -64.1177 dBm | Tput: 262.84 Mbps | Delay: 1117.73 ms | Jitter: 0.13259 ms | Drop: 81192
[INFO] Waktu: 19.2s | Jarak: 191 m | RSSI: -64.3067 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 84154
[INFO] Waktu: 19.4s | Jarak: 193 m | RSSI: -64.4877 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 84925
[INFO] Waktu: 19.6s | Jarak: 195 m | RSSI: -64.6668 dBm | Tput: 104.806 Mbps | Delay: 1600.26 ms | Jitter: 0.29821 ms | Drop: 83104
[INFO] Waktu: 19.8s | Jarak: 197 m | RSSI: -64.844 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 84926
[INFO] Waktu: 20s | Jarak: 199 m | RSSI: -65.0134 dBm | Tput: 62.5306 Mbps | Delay: 2080.14 ms | Jitter: 0.477126 ms | Drop: 84671
[INFO] Waktu: 20.2s | Jarak: 201 m | RSSI: -52.408 dBm | Tput: 2279.24 Mbps | Delay: 357.426 ms | Jitter: 0.0575245 ms | Drop: 46379
[INFO] Waktu: 20.4s | Jarak: 203 m | RSSI: -52.494 dBm | Tput: 2268.59 Mbps | Delay: 86.5323 ms | Jitter: 0.00604479 ms | Drop: 46445
[INFO] Waktu: 20.6s | Jarak: 205 m | RSSI: -52.5792 dBm | Tput: 2272.53 Mbps | Delay: 86.3485 ms | Jitter: 0.00609575 ms | Drop: 46277
[INFO] Waktu: 20.8s | Jarak: 207 m | RSSI: -52.6635 dBm | Tput: 2280.78 Mbps | Delay: 86.2396 ms | Jitter: 0.00618897 ms | Drop: 46215
[INFO] Waktu: 21s | Jarak: 209 m | RSSI: -52.747 dBm | Tput: 2272.24 Mbps | Delay: 86.3765 ms | Jitter: 0.00620415 ms | Drop: 46291
[INFO] Waktu: 21.2s | Jarak: 211 m | RSSI: -52.8298 dBm | Tput: 2281.01 Mbps | Delay: 86.2169 ms | Jitter: 0.00611052 ms | Drop: 46220
[INFO] Waktu: 21.4s | Jarak: 213 m | RSSI: -52.9117 dBm | Tput: 2218.19 Mbps | Delay: 87.6294 ms | Jitter: 0.00605431 ms | Drop: 47256
[INFO] Waktu: 21.6s | Jarak: 215 m | RSSI: -52.9929 dBm | Tput: 2233.14 Mbps | Delay: 87.2404 ms | Jitter: 0.00597942 ms | Drop: 46975
[INFO] Waktu: 21.8s | Jarak: 217 m | RSSI: -53.0733 dBm | Tput: 2247.8 Mbps | Delay: 87.1114 ms | Jitter: 0.00608352 ms | Drop: 46770
